2021-12-05 15:19:29,088 (INFO)	||| 

2021-12-05 15:19:29,089 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:19:29,555 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:19:29,555 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:19:30,052 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:20:31,767 (INFO)	||| 

2021-12-05 15:20:31,768 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:20:31,794 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:20:31,795 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:20:32,101 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:24:27,935 (INFO)	||| 

2021-12-05 15:24:27,936 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:24:27,966 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:24:27,967 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:24:28,309 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:26:59,198 (INFO)	||| 

2021-12-05 15:26:59,199 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:26:59,228 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:26:59,229 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:26:59,880 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:28:16,196 (INFO)	||| 

2021-12-05 15:28:16,197 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:28:16,225 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:28:16,226 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:28:16,531 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:29:18,228 (INFO)	||| 

2021-12-05 15:29:18,228 (INFO)	||| ====== WebDriver manager ======
2021-12-05 15:29:18,256 (INFO)	||| Current google-chrome version is 96.0.4664
2021-12-05 15:29:18,256 (INFO)	||| Get LATEST chromedriver version for 96.0.4664 google-chrome
2021-12-05 15:29:18,554 (INFO)	||| Driver [C:\Users\oev100285\.wdm\drivers\chromedriver\win32\96.0.4664.45\chromedriver.exe] found in cache
2021-12-05 15:33:45,429 (INFO)	||| 

2021-12-05 15:33:45,429 (INFO)	||| ====== WebDriver manager ======
